Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t,av_loop_gpu_t,av_loop_cpu_t,av_loop_gpu_cpu_t,av_loop_cpu_gpu_t
Sequential,-1,1.851316,1.811224,1.886968
Naive,32,0.209074,0.200746,0.280293,0.079591,0.088845,0.040552,0.000079
Naive,64,0.205036,0.196420,0.280064,0.075590,0.088813,0.040546,0.000079
Naive,128,0.205098,0.196552,0.280171,0.075596,0.088881,0.040533,0.000080
Naive,256,0.204754,0.196243,0.279634,0.075600,0.088586,0.040482,0.000079
Naive,512,0.205068,0.196302,0.279625,0.075602,0.088870,0.040508,0.000079
Naive,1024,0.205072,0.196367,0.279817,0.075605,0.088868,0.040513,0.000078

Transpose,32,0.200527,0.192330,0.270847,0.080079,0.079811,0.040552,0.000078
Transpose,64,0.188644,0.179270,0.270953,0.068095,0.079900,0.040563,0.000078
Transpose,128,0.188576,0.178961,0.271648,0.068097,0.079845,0.040546,0.000080
Transpose,256,0.188355,0.179099,0.270665,0.068100,0.079688,0.040480,0.000079
Transpose,512,0.188285,0.178890,0.270834,0.068102,0.079604,0.040493,0.000079
Transpose,1024,0.188498,0.178919,0.271361,0.068135,0.079741,0.040536,0.000079

Shmem,32,0.205348,0.197608,0.270831,0.084890,0.079785,0.040587,0.000077
Shmem,64,0.172224,0.160827,0.271171,0.051638,0.079931,0.040569,0.000079
Shmem,128,0.156784,0.143357,0.271166,0.036401,0.079741,0.040556,0.000079
Shmem,256,0.157253,0.144118,0.271178,0.036721,0.079905,0.040542,0.000079
Shmem,512,0.157573,0.144574,0.271058,0.037092,0.079836,0.040559,0.000079
Shmem,1024,0.158262,0.145232,0.270930,0.037817,0.079782,0.040577,0.000079
